Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,6928.919922,6942.140137,6915.560059,6936.250000,6936.250000,1301000000
2017-12-27,6941.450195,6955.379883,6931.339844,6939.339844,6939.339844,1411010000
2017-12-28,6953.379883,6954.799805,6936.750000,6950.160156,6950.160156,1319870000
2017-12-29,6952.609863,6954.979980,6903.390137,6903.390137,6903.390137,1575290000
2018-01-02,6937.649902,7006.910156,6924.080078,7006.899902,7006.899902,1929700000
2018-01-03,7017.069824,7069.149902,7016.700195,7065.529785,7065.529785,2173130000
2018-01-04,7089.500000,7098.049805,7072.379883,7077.910156,7077.910156,2103220000
2018-01-05,7105.740234,7137.040039,7097.080078,7136.560059,7136.560059,2024000000
2018-01-08,7135.379883,7161.350098,7124.089844,7157.390137,7157.390137,2055010000
2018-01-09,7174.189941,7181.140137,7148.299805,7163.580078,7163.580078,2155810000
2018-01-10,7129.830078,7154.240234,7111.520020,7153.569824,7153.569824,2132430000
2018-01-11,7168.729980,7211.779785,7163.229980,7211.779785,7211.779785,2015170000
2018-01-12,7208.169922,7265.259766,7205.180176,7261.060059,7261.060059,1986600000
2018-01-16,7307.189941,7330.330078,7205.930176,7223.689941,7223.689941,2399790000
2018-01-17,7257.770020,7309.359863,7229.319824,7298.279785,7298.279785,2245910000
2018-01-18,7293.649902,7313.890137,7276.109863,7296.049805,7296.049805,2037410000
2018-01-19,7312.000000,7336.379883,7297.279785,7336.379883,7336.379883,2005470000
2018-01-22,7338.040039,7408.029785,7332.810059,7408.029785,7408.029785,2118310000
2018-01-23,7424.950195,7465.390137,7423.180176,7460.290039,7460.290039,2135840000
2018-01-24,7474.160156,7486.319824,7376.750000,7415.060059,7415.060059,2287320000
2018-01-25,7457.950195,7458.529785,7388.580078,7411.160156,7411.160156,2081380000
2018-01-26,7448.330078,7505.770020,7431.220215,7505.770020,7505.770020,2080700000
2018-01-29,7484.470215,7500.609863,7455.549805,7466.509766,7466.509766,2114420000
2018-01-30,7388.890137,7433.649902,7373.990234,7402.479980,7402.479980,2183420000
2018-01-31,7443.250000,7453.990234,7381.120117,7411.479980,7411.479980,2428990000
2018-02-01,7377.169922,7441.089844,7362.279785,7385.859863,7385.859863,2311180000
2018-02-02,7347.589844,7364.430176,7238.180176,7240.950195,7240.950195,2607160000
2018-02-05,7165.959961,7277.359863,6967.529785,6967.529785,6967.529785,3143210000
2018-02-06,6837.560059,7126.549805,6824.819824,7115.879883,7115.879883,3148270000
2018-02-07,7086.200195,7170.339844,7051.529785,7051.979980,7051.979980,2380020000
2018-02-08,7067.299805,7073.990234,6776.770020,6777.160156,6777.160156,2730740000
2018-02-09,6863.339844,6917.009766,6630.669922,6874.490234,6874.490234,3165330000
2018-02-12,6936.680176,7023.620117,6879.689941,6981.959961,6981.959961,2250650000
2018-02-13,6942.160156,7025.680176,6938.160156,7013.509766,7013.509766,1830320000
2018-02-14,6979.240234,7152.049805,6977.069824,7143.620117,7143.620117,2217630000
2018-02-15,7200.750000,7256.930176,7130.390137,7256.430176,7256.430176,2124060000
2018-02-16,7236.509766,7303.259766,7226.379883,7239.470215,7239.470215,2037710000
2018-02-20,7209.029785,7295.950195,7206.000000,7234.310059,7234.310059,1921870000
2018-02-21,7258.479980,7338.640137,7218.109863,7218.229980,7218.229980,1956120000
2018-02-22,7252.459961,7280.930176,7194.839844,7210.089844,7210.089844,1927580000
2018-02-23,7261.350098,7337.830078,7232.500000,7337.390137,7337.390137,1887540000
2018-02-26,7373.299805,7421.850098,7360.250000,7421.459961,7421.459961,1876560000
2018-02-27,7416.169922,7438.089844,7330.350098,7330.350098,7330.350098,2162250000
2018-02-28,7371.410156,7386.799805,7273.009766,7273.009766,7273.009766,2384940000
2018-03-01,7274.750000,7307.850098,7117.660156,7180.560059,7180.560059,2499010000
2018-03-02,7099.540039,7267.189941,7084.830078,7257.870117,7257.870117,2291480000
2018-03-05,7222.890137,7350.069824,7205.310059,7330.709961,7330.709961,2076870000
2018-03-06,7366.609863,7378.029785,7319.680176,7372.009766,7372.009766,2132920000
2018-03-07,7311.740234,7403.790039,7311.740234,7396.649902,7396.649902,2198610000
2018-03-08,7422.770020,7435.009766,7391.500000,7427.950195,7427.950195,2277740000
2018-03-09,7475.979980,7560.810059,7469.029785,7560.810059,7560.810059,2310050000
2018-03-12,7581.040039,7609.100098,7563.439941,7588.319824,7588.319824,2314480000
2018-03-13,7627.520020,7637.270020,7492.979980,7511.009766,7511.009766,2459220000
2018-03-14,7539.779785,7544.890137,7473.899902,7496.810059,7496.810059,2112950000
2018-03-15,7509.240234,7525.439941,7463.189941,7481.740234,7481.740234,2008290000
2018-03-16,7504.370117,7514.209961,7473.680176,7481.990234,7481.990234,3089970000
2018-03-19,7419.200195,7421.229980,7285.270020,7344.240234,7344.240234,2352810000
2018-03-20,7353.250000,7380.740234,7331.240234,7364.299805,7364.299805,1976000000
2018-03-21,7347.500000,7415.660156,7325.350098,7345.290039,7345.290039,1999230000
